# run: n=3, Nk=30, M-point grid (include_M=True), nv=nc=2, raw BSE, state=0
# TB: hoppings x0.70, eps_Bp=1.508, eps0(BSE)=2.80 ; Eg=2.1783 eV, Eb=183.0 meV
# model: W(k) = 2*pi*a0^2 / (1 + a0^2 k^2/4)^3 / (Nk^2 a^2)   [normalized, sum_k W=1]
# --- fit results ---
# a0_linear = 32.7038 A   a_BZ=a0/2 = 16.3519 A   r=sqrt(3/2)a_BZ = 20.0269 A
# a0_log    = 41.3537 A   a_BZ=a0/2 = 20.6768 A   r=sqrt(3/2)a_BZ = 25.3239 A
# a0_peak   = 32.5760 A  (from peak height W(M)=0.18666)
# a_BZ_moment = 17.6177 A   (direct second moment; r_Eq29=sqrt(3/2)a_BZ=21.5772 A)
# hydrogenicity invariant R = 0.8547  (=1 if true 2D 1s)
# --- columns ---
# abs_dk[1/A]    W_k(BSE)      W_fit_linear   W_fit_log
    0.297347   4.884373e-06   1.257433e-05   5.149699e-06
    0.297347   4.886594e-06   1.257433e-05   5.149699e-06
    0.299199   1.351606e-05   1.213256e-05   4.966053e-06
    0.299199   1.353832e-05   1.213256e-05   4.966053e-06
    0.299199   1.351606e-05   1.213256e-05   4.966053e-06
    0.299199   1.353832e-05   1.213256e-05   4.966053e-06
    0.301041   1.184734e-05   1.171125e-05   4.791037e-06
    0.301041   1.184734e-05   1.171125e-05   4.791037e-06
    0.301041   1.186745e-05   1.171125e-05   4.791037e-06
    0.301041   1.186745e-05   1.171125e-05   4.791037e-06
    0.301041   1.184820e-05   1.171125e-05   4.791037e-06
    0.301041   1.186835e-05   1.171125e-05   4.791037e-06
    0.301041   1.186835e-05   1.171125e-05   4.791037e-06
    0.301041   1.184820e-05   1.171125e-05   4.791037e-06
    0.306498   8.306619e-06   1.055874e-05   4.312924e-06
    0.306498   2.642276e-06   1.055874e-05   4.312924e-06
    0.306498   8.323480e-06   1.055874e-05   4.312924e-06
    0.306498   8.322032e-06   1.055874e-05   4.312924e-06
    0.306498   8.306619e-06   1.055874e-05   4.312924e-06
    0.306498   8.323480e-06   1.055874e-05   4.312924e-06
    0.306498   2.642276e-06   1.055874e-05   4.312924e-06
    0.306498   2.639478e-06   1.055874e-05   4.312924e-06
    0.306498   2.643319e-06   1.055874e-05   4.312924e-06
    0.306498   8.322032e-06   1.055874e-05   4.312924e-06
    0.306498   8.308001e-06   1.055874e-05   4.312924e-06
    0.306498   2.643319e-06   1.055874e-05   4.312924e-06
    0.306498   2.639478e-06   1.055874e-05   4.312924e-06
    0.306498   8.308001e-06   1.055874e-05   4.312924e-06
    0.306498   2.646202e-06   1.055874e-05   4.312924e-06
    0.306498   2.646202e-06   1.055874e-05   4.312924e-06
    0.313627   2.742458e-06   9.245758e-06   3.769484e-06
    0.313627   2.742458e-06   9.245758e-06   3.769484e-06
    0.313627   2.744573e-06   9.245758e-06   3.769484e-06
    0.313627   2.744573e-06   9.245758e-06   3.769484e-06
    0.313627   2.737186e-06   9.245758e-06   3.769484e-06
    0.313627   2.737186e-06   9.245758e-06   3.769484e-06
    0.313627   2.739222e-06   9.245758e-06   3.769484e-06
    0.313627   2.739222e-06   9.245758e-06   3.769484e-06
    0.315384   5.080336e-06   8.951904e-06   3.648049e-06
    0.315384   5.080336e-06   8.951904e-06   3.648049e-06
    0.315384   5.078804e-06   8.951904e-06   3.648049e-06
    0.315384   5.091215e-06   8.951904e-06   3.648049e-06
    0.315384   5.091215e-06   8.951904e-06   3.648049e-06
    0.315384   5.078804e-06   8.951904e-06   3.648049e-06
    0.315384   5.089611e-06   8.951904e-06   3.648049e-06
    0.315384   5.089611e-06   8.951904e-06   3.648049e-06
    0.327419   2.934557e-06   7.206747e-06   2.928431e-06
    0.327419   2.940424e-06   7.206747e-06   2.928431e-06
    0.327419   2.941979e-06   7.206747e-06   2.928431e-06
    0.327419   2.940424e-06   7.206747e-06   2.928431e-06
    0.327419   2.941979e-06   7.206747e-06   2.928431e-06
    0.327419   2.933070e-06   7.206747e-06   2.928431e-06
    0.327419   2.933070e-06   7.206747e-06   2.928431e-06
    0.327419   2.934557e-06   7.206747e-06   2.928431e-06
