# |k-kM|_invAngstrom    Wk_weight
3.324437e-01 7.952438e-06
2.991993e-01 1.348724e-05
2.659549e-01 2.484192e-05
2.327106e-01 5.045105e-05
1.994662e-01 1.154809e-04
1.662218e-01 3.068586e-04
1.329775e-01 9.817104e-04
9.973310e-02 3.912299e-03
6.648873e-02 1.908393e-02
3.324437e-02 8.921000e-02
0.000000e+00 1.867054e-01
3.324437e-02 8.920849e-02
6.648873e-02 1.908315e-02
9.973310e-02 3.911983e-03
1.329775e-01 9.815663e-04
1.662218e-01 3.067810e-04
1.994662e-01 1.154326e-04
2.327106e-01 5.041721e-05
2.659549e-01 2.481576e-05
2.991993e-01 1.346521e-05
3.324437e-01 7.932341e-06
3.656880e-01 5.025822e-06
3.989324e-01 3.411480e-06
4.321768e-01 2.486278e-06
4.654211e-01 1.963108e-06
4.997724e-01 1.589075e-06
4.666069e-01 1.794495e-06
4.334535e-01 2.249691e-06
4.003152e-01 3.065569e-06
3.671960e-01 4.486121e-06
3.341018e-01 7.027523e-06
3.010405e-01 1.182202e-05
2.680247e-01 2.154248e-05
2.350732e-01 4.312738e-05
2.022176e-01 9.677205e-05
1.695137e-01 2.497412e-04
1.370700e-01 7.633168e-04
1.051279e-01 2.822058e-03
7.433666e-02 1.216128e-02
4.701463e-02 4.768299e-02
3.324437e-02 8.920849e-02
4.701463e-02 4.768215e-02
7.433666e-02 1.216076e-02
1.051279e-01 2.821821e-03
1.370700e-01 7.632007e-04
1.695137e-01 2.496759e-04
2.022176e-01 9.673025e-05
2.350732e-01 4.309754e-05
2.680247e-01 2.151909e-05
3.010405e-01 1.180210e-05
3.341018e-01 7.009188e-06
3.671960e-01 4.467833e-06
4.003152e-01 3.045594e-06
4.334535e-01 2.225129e-06
4.666069e-01 1.757791e-06
5.030786e-01 1.173634e-06
4.701463e-01 1.329849e-06
4.372614e-01 1.663804e-06
4.044352e-01 2.252271e-06
3.716833e-01 3.260127e-06
3.390273e-01 5.028996e-06
3.064979e-01 8.288853e-06
2.741401e-01 1.470640e-05
2.420226e-01 2.842210e-05
2.102558e-01 6.077512e-05
1.790264e-01 1.463303e-04
1.486733e-01 4.025481e-04
1.198643e-01 1.262480e-03
9.402927e-02 4.238941e-03
7.433666e-02 1.216101e-02
6.648873e-02 1.908315e-02
7.433666e-02 1.216076e-02
9.402927e-02 4.238734e-03
1.198643e-01 1.262361e-03
1.486733e-01 4.024801e-04
1.790264e-01 1.462881e-04
2.102558e-01 6.074626e-05
2.420226e-01 2.840052e-05
2.741401e-01 1.468891e-05
3.064979e-01 8.273554e-06
3.390273e-01 5.014601e-06
3.716833e-01 3.245507e-06
4.044352e-01 2.236056e-06
4.372614e-01 1.643622e-06
4.701463e-01 1.299445e-06
5.085410e-01 7.630764e-07
4.759869e-01 8.697540e-07
4.435352e-01 1.086400e-06
4.112101e-01 1.459159e-06
3.790441e-01 2.083770e-06
3.470814e-01 3.153458e-06
3.153838e-01 5.068087e-06
2.840400e-01 8.704581e-06
2.531816e-01 1.612927e-05
2.230100e-01 3.260278e-05
1.938463e-01 7.256021e-05
1.662218e-01 1.780385e-04
1.410439e-01 4.725125e-04
1.198643e-01 1.262434e-03
1.051279e-01 2.821891e-03
9.973310e-02 3.911983e-03
1.051279e-01 2.821821e-03
1.198643e-01 1.262361e-03
1.410439e-01 4.724598e-04
1.662218e-01 1.780033e-04
1.938463e-01 7.253584e-05
2.230100e-01 3.258484e-05
2.531816e-01 1.611514e-05
2.840400e-01 8.692657e-06
3.153838e-01 5.057332e-06
3.470814e-01 3.143082e-06
3.790441e-01 2.073017e-06
4.112101e-01 1.447045e-06
4.435352e-01 1.071163e-06
4.759869e-01 8.467162e-07
5.160914e-01 4.660701e-07
4.840453e-01 5.355349e-07
4.521723e-01 6.687520e-07
4.205117e-01 8.918671e-07
3.891153e-01 1.257062e-06
3.580528e-01 1.866901e-06
3.274190e-01 2.927127e-06
2.973467e-01 4.871675e-06
2.680247e-01 8.671806e-06
2.397285e-01 1.663106e-05
2.128678e-01 3.446993e-05
1.880585e-01 7.665979e-05
1.662218e-01 1.780275e-04
1.486733e-01 4.025089e-04
1.370700e-01 7.632239e-04
1.329775e-01 9.815663e-04
1.370700e-01 7.632007e-04
1.486733e-01 4.024801e-04
1.662218e-01 1.780033e-04
1.880585e-01 7.664150e-05
2.128678e-01 3.445604e-05
2.397285e-01 1.662013e-05
2.680247e-01 8.662763e-06
2.973467e-01 4.863764e-06
3.274190e-01 2.919791e-06
3.580528e-01 1.859670e-06
3.891153e-01 1.249449e-06
4.205117e-01 8.832037e-07
4.521723e-01 6.578203e-07
4.840453e-01 5.191076e-07
5.256396e-01 2.808024e-07
4.942130e-01 3.257086e-07
4.630404e-01 4.072315e-07
4.321768e-01 5.401173e-07
4.016932e-01 7.527278e-07
3.716833e-01 1.099488e-06
3.422717e-01 1.686538e-06
3.136267e-01 2.729745e-06
2.859789e-01 4.689272e-06
2.596468e-01 8.587418e-06
2.350732e-01 1.675571e-05
2.128678e-01 3.446598e-05
1.938463e-01 7.254780e-05
1.790264e-01 1.463009e-04
1.695137e-01 2.496853e-04
1.662218e-01 3.067810e-04
1.695137e-01 2.496759e-04
1.790264e-01 1.462881e-04
1.938463e-01 7.253584e-05
2.128678e-01 3.445604e-05
2.350732e-01 1.674759e-05
2.596468e-01 8.580656e-06
2.859789e-01 4.683435e-06
3.136267e-01 2.724476e-06
3.422717e-01 1.681539e-06
3.716833e-01 1.094483e-06
4.016932e-01 7.474062e-07
4.321768e-01 5.340443e-07
4.630404e-01 3.996075e-07
4.942130e-01 3.144264e-07
5.370792e-01 1.722967e-07
5.063631e-01 2.017988e-07
4.759869e-01 2.528792e-07
4.460200e-01 3.340745e-07
4.165507e-01 4.613024e-07
3.876926e-01 6.644662e-07
3.595928e-01 1.000343e-06
3.324437e-01 1.580297e-06
3.064979e-01 2.630681e-06
2.820878e-01 4.626741e-06
2.596468e-01 8.585572e-06
2.397285e-01 1.662583e-05
2.230100e-01 3.259129e-05
2.102558e-01 6.075272e-05
2.022176e-01 9.673467e-05
1.994662e-01 1.154326e-04
2.022176e-01 9.673025e-05
2.102558e-01 6.074626e-05
2.230100e-01 3.258484e-05
2.397285e-01 1.662013e-05
2.596468e-01 8.580656e-06
2.820878e-01 4.622455e-06
3.064979e-01 2.626843e-06
3.324437e-01 1.576737e-06
3.595928e-01 9.969024e-07
3.876926e-01 6.609812e-07
4.165507e-01 4.575805e-07
4.460200e-01 3.298376e-07
4.759869e-01 2.476164e-07
5.063631e-01 1.941686e-07
5.502922e-01 1.095190e-07
5.203566e-01 1.294210e-07
4.908472e-01 1.625768e-07
4.618455e-01 2.141250e-07
4.334535e-01 2.934127e-07
4.057992e-01 4.176455e-07
3.790441e-01 6.185924e-07
3.533925e-01 9.563028e-07
3.291024e-01 1.547860e-06
3.064979e-01 2.629634e-06
2.859789e-01 4.686527e-06
2.680247e-01 8.666218e-06
2.531816e-01 1.611888e-05
2.420226e-01 2.840409e-05
2.350732e-01 4.309988e-05
2.327106e-01 5.041721e-05
2.350732e-01 4.309754e-05
2.420226e-01 2.840052e-05
2.531816e-01 1.611514e-05
2.680247e-01 8.662763e-06
2.859789e-01 4.683435e-06
3.064979e-01 2.626843e-06
3.291024e-01 1.545285e-06
3.533925e-01 9.538568e-07
3.790441e-01 6.161903e-07
4.057992e-01 4.151919e-07
4.334535e-01 2.907876e-07
4.618455e-01 2.111513e-07
4.908472e-01 1.589276e-07
5.203566e-01 1.242371e-07
5.651542e-01 7.250561e-08
5.360493e-01 8.629754e-08
5.074532e-01 1.085852e-07
4.794571e-01 1.425898e-07
4.521723e-01 1.940487e-07
4.257356e-01 2.733026e-07
4.003152e-01 3.989097e-07
3.761171e-01 6.048484e-07
3.533925e-01 9.556228e-07
3.324437e-01 1.578609e-06
3.136267e-01 2.726502e-06
2.973467e-01 4.865969e-06
2.840400e-01 8.694974e-06
2.741401e-01 1.469105e-05
2.680247e-01 2.152045e-05
2.659549e-01 2.481576e-05
2.680247e-01 2.151909e-05
2.741401e-01 1.468891e-05
2.840400e-01 8.692657e-06
2.973467e-01 4.863764e-06
3.136267e-01 2.724476e-06
3.324437e-01 1.576737e-06
3.533925e-01 9.538568e-07
3.761171e-01 6.031392e-07
4.003152e-01 3.972083e-07
4.257356e-01 2.715522e-07
4.521723e-01 1.921740e-07
4.794571e-01 1.404760e-07
5.074532e-01 1.060175e-07
5.360493e-01 8.270787e-08
5.815389e-01 4.991764e-08
