# energy_eV    eps2_arb    eps2_normalised
1.745204e+00 4.688386e-01 3.251268e-03
1.746455e+00 4.720946e-01 3.273848e-03
1.747706e+00 4.753929e-01 3.296720e-03
1.748957e+00 4.787343e-01 3.319892e-03
1.750209e+00 4.821196e-01 3.343368e-03
1.751460e+00 4.855497e-01 3.367155e-03
1.752711e+00 4.890254e-01 3.391258e-03
1.753962e+00 4.925477e-01 3.415684e-03
1.755213e+00 4.961174e-01 3.440439e-03
1.756464e+00 4.997355e-01 3.465530e-03
1.757715e+00 5.034030e-01 3.490963e-03
1.758966e+00 5.071208e-01 3.516745e-03
1.760217e+00 5.108899e-01 3.542883e-03
1.761468e+00 5.147114e-01 3.569384e-03
1.762719e+00 5.185864e-01 3.596256e-03
1.763970e+00 5.225159e-01 3.623505e-03
1.765221e+00 5.265010e-01 3.651141e-03
1.766472e+00 5.305429e-01 3.679171e-03
1.767723e+00 5.346428e-01 3.707603e-03
1.768974e+00 5.388020e-01 3.736445e-03
1.770225e+00 5.430215e-01 3.765706e-03
1.771476e+00 5.473028e-01 3.795396e-03
1.772727e+00 5.516471e-01 3.825523e-03
1.773978e+00 5.560558e-01 3.856096e-03
1.775229e+00 5.605303e-01 3.887125e-03
1.776480e+00 5.650719e-01 3.918620e-03
1.777731e+00 5.696823e-01 3.950592e-03
1.778982e+00 5.743628e-01 3.983050e-03
1.780234e+00 5.791150e-01 4.016005e-03
1.781485e+00 5.839406e-01 4.049469e-03
1.782736e+00 5.888411e-01 4.083453e-03
1.783987e+00 5.938183e-01 4.117968e-03
1.785238e+00 5.988739e-01 4.153028e-03
1.786489e+00 6.040097e-01 4.188643e-03
1.787740e+00 6.092274e-01 4.224827e-03
1.788991e+00 6.145291e-01 4.261592e-03
1.790242e+00 6.199167e-01 4.298954e-03
1.791493e+00 6.253922e-01 4.336925e-03
1.792744e+00 6.309576e-01 4.375519e-03
1.793995e+00 6.366151e-01 4.414753e-03
1.795246e+00 6.423669e-01 4.454640e-03
1.796497e+00 6.482153e-01 4.495197e-03
1.797748e+00 6.541626e-01 4.536439e-03
1.798999e+00 6.602111e-01 4.578385e-03
1.800250e+00 6.663635e-01 4.621050e-03
1.801501e+00 6.726223e-01 4.664453e-03
1.802752e+00 6.789900e-01 4.708611e-03
1.804003e+00 6.854695e-01 4.753545e-03
1.805254e+00 6.920636e-01 4.799273e-03
1.806505e+00 6.987752e-01 4.845816e-03
1.807756e+00 7.056072e-01 4.893194e-03
1.809008e+00 7.125629e-01 4.941430e-03
1.810259e+00 7.196453e-01 4.990544e-03
1.811510e+00 7.268579e-01 5.040562e-03
1.812761e+00 7.342040e-01 5.091505e-03
1.814012e+00 7.416872e-01 5.143399e-03
1.815263e+00 7.493112e-01 5.196269e-03
1.816514e+00 7.570797e-01 5.250142e-03
1.817765e+00 7.649967e-01 5.305044e-03
1.819016e+00 7.730662e-01 5.361004e-03
1.820267e+00 7.812925e-01 5.418051e-03
1.821518e+00 7.896798e-01 5.476215e-03
1.822769e+00 7.982327e-01 5.535527e-03
