# MAPbI3 n=3 superfluid scan | Eg=2.178282 eV  Ex=1.991594 eV  binding=186.7 meV | densities include spin factor SPIN_DEG=2
# dmu_eV  kx_invA  ky_invA  f_v  f_c  absDelta_eV  e_minus_eV  epsr_v_eV  epsr_c_eV
1.971600e+00 2.436655e-01 6.186655e-01 1.000000e+00 1.189263e-20 1.464993e-10 -4.984513e-01 -3.951104e-01 2.919863e+00
1.971600e+00 2.436655e-01 6.336655e-01 1.000000e+00 9.003179e-21 1.349619e-10 -5.194983e-01 -4.161574e-01 2.977814e+00
1.971600e+00 2.436655e-01 6.486655e-01 1.000000e+00 6.821243e-21 1.239277e-10 -5.386222e-01 -4.352813e-01 3.036821e+00
1.971600e+00 2.436655e-01 6.636655e-01 1.000000e+00 5.191476e-21 1.135788e-10 -5.555881e-01 -4.522472e-01 3.095700e+00
1.971600e+00 2.436655e-01 6.786655e-01 1.000000e+00 3.980221e-21 1.040219e-10 -5.703708e-01 -4.670299e-01 3.153383e+00
1.971600e+00 2.436655e-01 6.936655e-01 1.000000e+00 3.080424e-21 9.530110e-11 -5.830868e-01 -4.797458e-01 3.208942e+00
1.971600e+00 2.436655e-01 7.086655e-01 1.000000e+00 2.410136e-21 8.741591e-11 -5.939323e-01 -4.905914e-01 3.261622e+00
1.971600e+00 2.436655e-01 7.236655e-01 1.000000e+00 1.908457e-21 8.034072e-11 -6.031358e-01 -4.997949e-01 3.310859e+00
1.971600e+00 2.436655e-01 7.386655e-01 1.000000e+00 1.530969e-21 7.404029e-11 -6.109268e-01 -5.075858e-01 3.356292e+00
1.971600e+00 2.436655e-01 7.536655e-01 1.000000e+00 1.245544e-21 6.847874e-11 -6.175175e-01 -5.141766e-01 3.397756e+00
1.971600e+00 2.436655e-01 7.686655e-01 1.000000e+00 1.028819e-21 6.361843e-11 -6.230957e-01 -5.197548e-01 3.435259e+00
1.971600e+00 2.436655e-01 7.836655e-01 1.000000e+00 8.631626e-22 5.940031e-11 -6.278222e-01 -5.244813e-01 3.468938e+00
1.971600e+00 2.436655e-01 7.986655e-01 1.000000e+00 7.330628e-22 5.566400e-11 -6.318320e-01 -5.284911e-01 3.499018e+00
1.971600e+00 2.586655e-01 1.986655e-01 1.000000e+00 9.004490e-22 6.007616e-11 -6.248444e-01 -5.215035e-01 3.452136e+00
1.971600e+00 2.586655e-01 2.136655e-01 1.000000e+00 1.059434e-21 6.411143e-11 -6.209582e-01 -5.176173e-01 3.423676e+00
1.971600e+00 2.586655e-01 2.286655e-01 1.000000e+00 1.263170e-21 6.870929e-11 -6.163642e-01 -5.130233e-01 3.391811e+00
1.971600e+00 2.586655e-01 2.436655e-01 1.000000e+00 1.530969e-21 7.404029e-11 -6.109268e-01 -5.075858e-01 3.356292e+00
1.971600e+00 2.586655e-01 2.586655e-01 1.000000e+00 1.885041e-21 8.016847e-11 -6.044838e-01 -5.011429e-01 3.316931e+00
1.971600e+00 2.586655e-01 2.736655e-01 1.000000e+00 2.354970e-21 8.713501e-11 -5.968452e-01 -4.935043e-01 3.273656e+00
1.971600e+00 2.586655e-01 2.886655e-01 1.000000e+00 2.981603e-21 9.497868e-11 -5.877941e-01 -4.844532e-01 3.226554e+00
1.971600e+00 2.586655e-01 3.036655e-01 1.000000e+00 3.821697e-21 1.037375e-10 -5.770945e-01 -4.737536e-01 3.175908e+00
1.971600e+00 2.586655e-01 3.186655e-01 1.000000e+00 4.953612e-21 1.134403e-10 -5.645084e-01 -4.611675e-01 3.122215e+00
1.971600e+00 2.586655e-01 3.336655e-01 1.000000e+00 6.483792e-21 1.240900e-10 -5.498269e-01 -4.464860e-01 3.066183e+00
1.971600e+00 2.586655e-01 3.486655e-01 1.000000e+00 8.552954e-21 1.356429e-10 -5.329195e-01 -4.295786e-01 3.008714e+00
1.971600e+00 2.586655e-01 3.636655e-01 1.000000e+00 1.133949e-20 1.479878e-10 -5.137979e-01 -4.104570e-01 2.950869e+00
1.971600e+00 2.586655e-01 3.786655e-01 1.000000e+00 1.505496e-20 1.609301e-10 -4.926877e-01 -3.893468e-01 2.893841e+00
1.971600e+00 2.586655e-01 3.936655e-01 1.000000e+00 1.992260e-20 1.741854e-10 -4.700871e-01 -3.667462e-01 2.838920e+00
1.971600e+00 2.586655e-01 4.086655e-01 1.000000e+00 2.612418e-20 1.873792e-10 -4.467926e-01 -3.434517e-01 2.787460e+00
1.971600e+00 2.586655e-01 4.236655e-01 1.000000e+00 3.369897e-20 2.000513e-10 -4.238720e-01 -3.205310e-01 2.740834e+00
