# MAPbI3 n=3 superfluid scan | Eg=2.178282 eV  Ex=1.991594 eV  binding=186.7 meV | density n = G_DEG * INT d2k/(2pi)^2 f_c (Kramers degeneracy G_DEG=2)
# target_n=3.200e+12 cm^-2  n=3.194282e+12 cm^-2  dmu=2.019100 eV  inverted
# kx_invA  omega_eV  A_kw
3.000000e-01 -5.319431e-01 9.930778e-01
-3.000000e-01 -5.182788e-01 1.099325e+00
-2.850000e-01 -5.182788e-01 1.061891e+00
-2.700000e-01 -5.182788e-01 1.020031e+00
-2.550000e-01 -5.182788e-01 9.737826e-01
-2.400000e-01 -5.182788e-01 9.232881e-01
-2.250000e-01 -5.182788e-01 8.688169e-01
-2.100000e-01 -5.182788e-01 8.108089e-01
-1.950000e-01 -5.182788e-01 7.499281e-01
-1.800000e-01 -5.182788e-01 6.871011e-01
-1.650000e-01 -5.182788e-01 6.235176e-01
-1.500000e-01 -5.182788e-01 5.605741e-01
-1.350000e-01 -5.182788e-01 4.997420e-01
-1.200000e-01 -5.182788e-01 4.423459e-01
-1.050000e-01 -5.182788e-01 3.892315e-01
-9.000000e-02 -5.182788e-01 3.402671e-01
-7.500000e-02 -5.182788e-01 2.937084e-01
-6.000000e-02 -5.182788e-01 2.467125e-01
-4.500000e-02 -5.182788e-01 2.005070e-01
-3.000000e-02 -5.182788e-01 1.637784e-01
-1.500000e-02 -5.182788e-01 1.423854e-01
5.551115e-17 -5.182788e-01 1.356309e-01
1.500000e-02 -5.182788e-01 1.423854e-01
3.000000e-02 -5.182788e-01 1.637784e-01
4.500000e-02 -5.182788e-01 2.005070e-01
6.000000e-02 -5.182788e-01 2.467125e-01
7.500000e-02 -5.182788e-01 2.937084e-01
9.000000e-02 -5.182788e-01 3.402671e-01
1.050000e-01 -5.182788e-01 3.892315e-01
1.200000e-01 -5.182788e-01 4.423459e-01
1.350000e-01 -5.182788e-01 4.997420e-01
1.500000e-01 -5.182788e-01 5.605741e-01
1.650000e-01 -5.182788e-01 6.235176e-01
1.800000e-01 -5.182788e-01 6.871011e-01
1.950000e-01 -5.182788e-01 7.499281e-01
2.100000e-01 -5.182788e-01 8.108089e-01
